id,name,picture,permalink,total_items_in_this_category,path_from_root,children_categories,attribute_types,meta_categ_id,attributable,date_created,settings.adult_content,settings.buying_allowed,settings.buying_modes,settings.catalog_domain,settings.coverage_areas,settings.currencies,settings.fragile,settings.immediate_payment,settings.item_conditions,settings.items_reviews_allowed,settings.listing_allowed,settings.max_description_length,settings.max_pictures_per_item,settings.max_pictures_per_item_var,settings.max_sub_title_length,settings.max_title_length,settings.maximum_price,settings.minimum_price,settings.mirror_category,settings.mirror_master_category,settings.mirror_slave_categories,settings.price,settings.reservation_allowed,settings.restrictions,settings.rounded_address,settings.seller_contact,settings.shipping_modes,settings.shipping_options,settings.shipping_profile,settings.show_contact_information,settings.simple_shipping,settings.stock,settings.sub_vertical,settings.subscribable,settings.tags,settings.vertical,settings.vip_subdomain,settings.buyer_protection_programs,settings.status
MLA47813,Dardos,,,1042,"[{'id': 'MLA1132', 'name': 'Juegos y Juguetes'}, {'id': 'MLA4696', 'name': 'Juegos de Salón'}, {'id': 'MLA47813', 'name': 'Dardos'}]",[],attributes,,False,2018-04-25T08:12:56.000Z,False,True,"['buy_it_now', 'auction']",MLA-DARTS,not_allowed,['ARS'],False,required,"['not_specified', 'used', 'new']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['custom', 'me1', 'me2', 'not_specified']","['custom', 'carrier']",optional,False,optional,required,board_games,False,[],toys_babies,articulo,"['delivered', 'undelivered']",enabled
MLA412445,Libros,http://resources.mlstatic.com/category/images/07fdad11-b411-4327-8353-3c848fbcdb9e.png,,6755249,"[{'id': 'MLA3025', 'name': 'Libros, Revistas y Comics'}, {'id': 'MLA412445', 'name': 'Libros'}]",[],attributes,,False,2018-04-25T08:12:56.000Z,False,True,"['buy_it_now', 'auction']",MLA-BOOKS,not_allowed,['ARS'],False,required,"['used', 'not_specified', 'new']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['me1', 'custom', 'not_specified']","['custom', 'carrier']",optional,False,optional,required,books,False,[],books,articulo,[],enabled
MLA1227,Otros,http://resources.mlstatic.com/category/images/08fef13e-9eda-47ae-b56c-ee7bcc8ac762.png,,1097163,"[{'id': 'MLA3025', 'name': 'Libros, Revistas y Comics'}, {'id': 'MLA1227', 'name': 'Otros'}]",[],attributes,,False,2018-04-25T08:12:56.000Z,False,True,"['buy_it_now', 'auction']",MLA-BOOKS_MAGAZINES_AND_COMICS,not_allowed,['ARS'],False,required,"['used', 'not_specified', 'new']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['custom', 'not_specified', 'me2', 'me1']","['custom', 'carrier']",optional,False,optional,required,books,False,['others'],entertainment,articulo,[],enabled
MLA1174,Música,http://resources.mlstatic.com/category/images/3d112536-f380-4b34-babb-e96e095cecda.png,,1137709,"[{'id': 'MLA1168', 'name': 'Música, Películas y Series'}, {'id': 'MLA1174', 'name': 'Música'}]",[],attributes,,False,2018-04-25T08:12:56.000Z,False,True,"['buy_it_now', 'auction']",MLA-MUSIC_ALBUMS,not_allowed,['ARS'],False,required,"['not_specified', 'new', 'used']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['not_specified', 'me1', 'me2', 'custom']","['custom', 'carrier']",optional,False,optional,required,movies_music,False,[],entertainment,articulo,"['delivered', 'undelivered']",enabled
MLA13508,Películas,http://resources.mlstatic.com/category/images/32e797c6-03f6-4403-a222-e5d9e3b42d27.png,,153917,"[{'id': 'MLA1168', 'name': 'Música, Películas y Series'}, {'id': 'MLA13508', 'name': 'Películas'}]",[],attributes,,False,2018-04-25T08:12:56.000Z,False,True,"['buy_it_now', 'auction']",MLA-MOVIES,not_allowed,['ARS'],False,required,"['not_specified', 'new', 'used']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['not_specified', 'me2', 'me1', 'custom']","['custom', 'carrier']",optional,False,optional,required,movies_music,False,[],entertainment,articulo,"['delivered', 'undelivered']",enabled
MLA7841,Series de TV,http://resources.mlstatic.com/category/images/8b00e391-776a-4d39-8af4-ff6cf1d9e584.png,,16739,"[{'id': 'MLA1168', 'name': 'Música, Películas y Series'}, {'id': 'MLA7841', 'name': 'Series de TV'}]",[],attributes,,False,2018-04-25T08:12:56.000Z,False,True,"['buy_it_now', 'auction']",MLA-TV_SERIES,not_allowed,['ARS'],False,required,"['not_specified', 'new', 'used']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['me2', 'me1', 'custom', 'not_specified']","['custom', 'carrier']",optional,False,optional,required,movies_music,False,[],entertainment,articulo,"['delivered', 'undelivered']",enabled
MLA417712,Billeteras,,,13111,"[{'id': 'MLA1430', 'name': 'Ropa y Accesorios'}, {'id': 'MLA110761', 'name': 'Equipaje, Bolsos y Carteras'}, {'id': 'MLA120349', 'name': 'Billeteras y Monederos'}, {'id': 'MLA417712', 'name': 'Billeteras'}]",[],variations,,False,2018-09-07T13:56:58.000Z,False,True,"['auction', 'buy_it_now']",MLA-WALLETS,not_allowed,['ARS'],False,required,"['not_specified', 'used', 'new']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['not_specified', 'me1', 'me2', 'custom']","['custom', 'carrier']",optional,False,optional,required,fashion_accesories,False,[],apparel,articulo,"['delivered', 'undelivered']",enabled
MLA9501,Bombachas,,,17664,"[{'id': 'MLA1430', 'name': 'Ropa y Accesorios'}, {'id': 'MLA109278', 'name': 'Ropa Interior y de Dormir'}, {'id': 'MLA3110', 'name': 'Ropa  Interior'}, {'id': 'MLA377249', 'name': 'Lencería'}, {'id': 'MLA9501', 'name': 'Bombachas'}]",[],variations,,False,2018-04-25T08:12:56.000Z,False,True,"['auction', 'buy_it_now']",MLA-PANTIES,not_allowed,['ARS'],False,required,"['not_specified', 'used', 'new']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['custom', 'not_specified', 'me2', 'me1']","['custom', 'carrier']",optional,False,optional,required,clothes,False,[],books,articulo,[],enabled
MLA429740,Boxers y Slips,,,9773,"[{'id': 'MLA1430', 'name': 'Ropa y Accesorios'}, {'id': 'MLA109278', 'name': 'Ropa Interior y de Dormir'}, {'id': 'MLA3110', 'name': 'Ropa  Interior'}, {'id': 'MLA429740', 'name': 'Boxers y Slips'}]",[],variations,,False,2019-01-30T15:30:15.000Z,False,True,"['auction', 'buy_it_now']",MLA-MALE_UNDERWEAR,not_allowed,['ARS'],False,required,"['not_specified', 'used', 'new']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['custom', 'not_specified', 'me2', 'me1']","['custom', 'carrier']",optional,False,optional,required,clothes,False,[],books,articulo,[],enabled
MLA109042,"Remeras, Musculosas y Chombas",http://resources.mlstatic.com/category/images/6d160fc8-3b7d-45ae-a8ab-355ad0f34ee0.png,,356572,"[{'id': 'MLA1430', 'name': 'Ropa y Accesorios'}, {'id': 'MLA109042', 'name': 'Remeras, Musculosas y Chombas'}]",[],variations,,False,2018-04-25T08:12:56.000Z,False,True,"['auction', 'buy_it_now']",MLA-T_SHIRTS,not_allowed,['ARS'],False,required,"['not_specified', 'used', 'new']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['me2', 'me1', 'custom', 'not_specified']","['custom', 'carrier']",optional,False,optional,required,clothes,False,[],apparel,articulo,"['delivered', 'undelivered']",enabled
